UITVOERDER;TITEL;;;;;;;;;;;;Uitvoerder;Titel
John Lennon;Imagine;;;;;;;;;;;;John Lennon;*Imagine
John Lennon;Woman;;;;;;;;;;;;John Lennon;*Woman
John Miles;Music;;;;;;;;;;;;John Miles;*Music
John Paul Young;Love Is In The Air;;;;;;;;;;;;John Paul Young;*Love Is In The Air
John Travolta & Olivia Newton-John);Summer Nights;;;;;;;;;;;;John Travolta & Olivia Newton-John);*Summer Nights
John Travolta & Olivia Newton-John);You're the One that I Want (duet);;;;;;;;;;;;John Travolta & Olivia Newton-John);*You're the One that I Want (duet)
Johnny Cash;A Boy Named Sue;;;;;;;;;;;;Johnny Cash;*A Boy Named Sue
Johnny Cash;Hurt;;;;;;;;;;;;Johnny Cash;*Hurt
Johnny Cash;I Walk The Line;;;;;;;;;;;;Johnny Cash;*I Walk The Line
Johnny Cash;Ring Of Fire;;;;;;;;;;;;Johnny Cash;*Ring Of Fire
Johnny Hates Jazz;Shattered dreams;;;;;;;;;;;;Johnny Hates Jazz;*Shattered dreams
Johnny Logan;Hold me now;;;;;;;;;;;;Johnny Logan;*Hold me now
Johnny Logan;What's another year!;;;;;;;;;;;;Johnny Logan;*What's another year!
Johnny Nash;I Can See Clearly Now;;;;;;;;;;;;Johnny Nash;*I Can See Clearly Now
JoJo;Leave (Get Out);;;;;;;;;;;;JoJo;*Leave (Get Out)
Jon Secada;Just Another Day;;;;;;;;;;;;Jon Secada;*Just Another Day
Jona Lewie;Stop The Cavalry;;;;;;;;;;;;Jona Lewie;*Stop The Cavalry
Jonas Blue & Liam Payne;Polaroid;;;;;;;;;;;;Jonas Blue & Liam Payne;*Polaroid
Jonas Blue ft. William Singe;Mama;;;;;;;;;;;;Jonas Blue ft. William Singe;*Mama
Jonas Brothers;Sucker;;;;;;;;;;;;Jonas Brothers;*Sucker
Joost Klein;Europapa;;;;;;;;;;;;Joost Klein;*Europapa
Jordin Sparks ft. Chris Brown;No Air;;;;;;;;;;;;Jordin Sparks ft. Chris Brown;*No Air
José Feliciano ;Feliz Navidad;;;;;;;;;;;;José Feliciano ;*Feliz Navidad
Joshua Kadison;Jessie;;;;;;;;;;;;Joshua Kadison;*Jessie
Joss Stone;Super Duper Love;;;;;;;;;;;;Joss Stone;*Super Duper Love
Journey;Don't stop Believing;;;;;;;;;;;;Journey;*Don't stop Believing
Jovanotti;L'ombelico del mondo;;;;;;;;;;;;Jovanotti;*L'ombelico del mondo
Joy Division;Love Will Tear Us Apart;;;;;;;;;;;;Joy Division;*Love Will Tear Us Apart
Juanes;La camisa negra;;;;;;;;;;;;Juanes;*La camisa negra
Judas Priest;Breaking The Law;;;;;;;;;;;;Judas Priest;*Breaking The Law
Judas Priest;You've Got Another Thing Comin';;;;;;;;;;;;Judas Priest;*You've Got Another Thing Comin'
Judy Garland;Over the Rainbow;;;;;;;;;;;;Judy Garland;*Over the Rainbow
Julia Michaels;Issues;;;;;;;;;;;;Julia Michaels;*Issues
Julio Iglesias;Manuela;;;;;;;;;;;;Julio Iglesias;*Manuela
Justin Bieber;Sorry;;;;;;;;;;;;Justin Bieber;*Sorry
Justin Bieber & Big Sean;As Long As You Love Me;;;;;;;;;;;;Justin Bieber & Big Sean;*As Long As You Love Me
Justin Bieber & Ludacris;Baby;;;;;;;;;;;;Justin Bieber & Ludacris;*Baby
Justin Timberlake;Can't stop the feeling!;;;;;;;;;;;;Justin Timberlake;*Can't stop the feeling!
Justin Timberlake;Cry Me A River;;;;;;;;;;;;Justin Timberlake;*Cry Me A River
Justin Timberlake;SexyBack;;;;;;;;;;;;Justin Timberlake;*SexyBack
K3;Dans van de farao;;;;;;;;;;;;K3;*Dans van de farao
Kadanz;Intimiteit;;;;;;;;;;;;Kadanz;*Intimiteit
Kaiser Chiefs;I Predict A Riot;;;;;;;;;;;;Kaiser Chiefs;*I Predict A Riot
Kaiser Chiefs;Na Na Na Na Naa;;;;;;;;;;;;Kaiser Chiefs;*Na Na Na Na Naa
Kaiser Chiefs;Ruby;;;;;;;;;;;;Kaiser Chiefs;*Ruby
Kajagoogoo;Too Shy;;;;;;;;;;;;Kajagoogoo;*Too Shy
Kaleo;Way Down We Go;;;;;;;;;;;;Kaleo;*Way Down We Go
Kansas;Dust in the Wind;;;;;;;;;;;;Kansas;*Dust in the Wind
Kanye West;Love Lockdown;;;;;;;;;;;;Kanye West;*Love Lockdown
Kaoma;Lambada;;;;;;;;;;;;Kaoma;*Lambada
Kat Deluna ft. Busta Rhymes;Run The Show;;;;;;;;;;;;Kat Deluna ft. Busta Rhymes;*Run The Show
Kate Bush;Cloudbusting;;;;;;;;;;;;Kate Bush;*Cloudbusting
Kate Bush;Hounds of love;;;;;;;;;;;;Kate Bush;*Hounds of love
Kate Bush;Running Up That Hill;;;;;;;;;;;;Kate Bush;*Running Up That Hill
Kate Bush;Wuthering Heights;;;;;;;;;;;;Kate Bush;*Wuthering Heights
Kate Bush & Peter Gabriel;Don't Give Up (+ duet);;;;;;;;;;;;Kate Bush & Peter Gabriel;*Don't Give Up (+ duet)
Kate Ryan;Ella elle l'a;;;;;;;;;;;;Kate Ryan;*Ella elle l'a
Katie Melua;Nine Million Bicycles;;;;;;;;;;;;Katie Melua;*Nine Million Bicycles
Katrina And The Waves;Walking On Sunshine;;;;;;;;;;;;Katrina And The Waves;*Walking On Sunshine
Katy Perry;Dark Horse;;;;;;;;;;;;Katy Perry;*Dark Horse
Katy Perry;Firework;;;;;;;;;;;;Katy Perry;*Firework
Katy Perry;Hot N Cold;;;;;;;;;;;;Katy Perry;*Hot N Cold
Katy Perry;I Kissed A Girl;;;;;;;;;;;;Katy Perry;*I Kissed A Girl
Katy Perry;Last Friday Night;;;;;;;;;;;;Katy Perry;*Last Friday Night
Katy Perry;Roar;;;;;;;;;;;;Katy Perry;*Roar
Katy Perry;Teenage Dream;;;;;;;;;;;;Katy Perry;*Teenage Dream
Katy Perry;This Is How We Do;;;;;;;;;;;;Katy Perry;*This Is How We Do
Katy Perry;Unconditionally;;;;;;;;;;;;Katy Perry;*Unconditionally
Katy Perry;Waking Up In Vegas;;;;;;;;;;;;Katy Perry;*Waking Up In Vegas
Katy Perry ft. Nicki Minaj;Swish Swish;;;;;;;;;;;;Katy Perry ft. Nicki Minaj;*Swish Swish
Katy Perry ft. Snoop Dogg;California Gurls;;;;;;;;;;;;Katy Perry ft. Snoop Dogg;*California Gurls
Ke$ha;Tik Tok;;;;;;;;;;;;Ke$ha;*Tik Tok
Keane;Everybody's Changing;;;;;;;;;;;;Keane;*Everybody's Changing
Keane;Is It Any Wonder;;;;;;;;;;;;Keane;*Is It Any Wonder
Keane;Somwhere Only We Know;;;;;;;;;;;;Keane;*Somwhere Only We Know
Keane;This Is The Last Time;;;;;;;;;;;;Keane;*This Is The Last Time
Kelly Clarkson;Because of you;;;;;;;;;;;;Kelly Clarkson;*Because of you
Kelly Clarkson;Behind These Hazel Eyes;;;;;;;;;;;;Kelly Clarkson;*Behind These Hazel Eyes
Kelly Clarkson;Since U Been Gone;;;;;;;;;;;;Kelly Clarkson;*Since U Been Gone
Kelly Clarkson;Stronger (What Doesn't Kill You);;;;;;;;;;;;Kelly Clarkson;*Stronger (What Doesn't Kill You)
Kelly Family;I can´t help myself (duet);;;;;;;;;;;;Kelly Family;*I can´t help myself (duet)
Kenny Loggins;Danger Zone;;;;;;;;;;;;Kenny Loggins;*Danger Zone
Kenny Loggins;Footloose;;;;;;;;;;;;Kenny Loggins;*Footloose
Kid Rock;All Summer Long;;;;;;;;;;;;Kid Rock;*All Summer Long
Kiesza;Hideaway;;;;;;;;;;;;Kiesza;*Hideaway
Killers;Brightside;;;;;;;;;;;;Killers;*Brightside
Killers;Human;;;;;;;;;;;;Killers;*Human
Killers;Read my mind;;;;;;;;;;;;Killers;*Read my mind
Killers;Somebody Told Me;;;;;;;;;;;;Killers;*Somebody Told Me
Killers;When You Were Young;;;;;;;;;;;;Killers;*When You Were Young
Killing Joke;Love Like Blood;;;;;;;;;;;;Killing Joke;*Love Like Blood
Kim Carnes;Bette Davis eyes;;;;;;;;;;;;Kim Carnes;*Bette Davis eyes
Kim Wilde;Cambodia;;;;;;;;;;;;Kim Wilde;*Cambodia
Kim Wilde;Chequered Love;;;;;;;;;;;;Kim Wilde;*Chequered Love
Kim Wilde;Kids In America;;;;;;;;;;;;Kim Wilde;*Kids In America
Kim Wilde;Never Trust a Stranger;;;;;;;;;;;;Kim Wilde;*Never Trust a Stranger
Kim Wilde;You Came;;;;;;;;;;;;Kim Wilde;*You Came
Kim Wilde;You keep me hanging on;;;;;;;;;;;;Kim Wilde;*You keep me hanging on
Kim Wilde ;If I Can't Have You;;;;;;;;;;;;Kim Wilde ;*If I Can't Have You
Kinderen voor Kinderen;Hallo Wereld;;;;;;;;;;;;Kinderen voor Kinderen;*Hallo Wereld
King África;La Bomba;;;;;;;;;;;;King África;*La Bomba
Kings Of Leon;On Call;;;;;;;;;;;;Kings Of Leon;*On Call
Kings Of Leon;Sex On Fire;;;;;;;;;;;;Kings Of Leon;*Sex On Fire
Kings of Leon;Use Somebody;;;;;;;;;;;;Kings of Leon;*Use Somebody
Kinks;Lola;;;;;;;;;;;;Kinks;*Lola
Kinks;Waterloo Sunset;;;;;;;;;;;;Kinks;*Waterloo Sunset
Kinks;You Really Got Me;;;;;;;;;;;;Kinks;*You Really Got Me
KISS;I Was Made For Loving You;;;;;;;;;;;;KISS;*I Was Made For Loving You
KISS;Rock and Roll All Nite;;;;;;;;;;;;KISS;*Rock and Roll All Nite
Klaus & Klaus;An der Nordseeküste (+ duet);;;;;;;;;;;;Klaus & Klaus;*An der Nordseeküste (+ duet)
Klaxons;It's Not Over Yet;;;;;;;;;;;;Klaxons;*It's Not Over Yet
K-Maro;Femme like u;;;;;;;;;;;;K-Maro;*Femme like u
Knack;My Sharona;;;;;;;;;;;;Knack;*My Sharona
Kool & The Gang;Celebration;;;;;;;;;;;;Kool & The Gang;*Celebration
Kool & The Gang;Cherish;;;;;;;;;;;;Kool & The Gang;*Cherish
Kool & The Gang;Get down on it;;;;;;;;;;;;Kool & The Gang;*Get down on it
Koos Alberts;Zijn Het Je Ogen;;;;;;;;;;;;Koos Alberts;*Zijn Het Je Ogen
Korn;Alone I break;;;;;;;;;;;;Korn;*Alone I break
Korn;Falling Away From Me;;;;;;;;;;;;Korn;*Falling Away From Me
Korn;Freak on a Leash;;;;;;;;;;;;Korn;*Freak on a Leash
KT Tunstall;Black Horse And The Cherry Tree;;;;;;;;;;;;KT Tunstall;*Black Horse And The Cherry Tree
Kylie Minogue;All The Lovers;;;;;;;;;;;;Kylie Minogue;*All The Lovers
Kylie Minogue;Better the devil you know;;;;;;;;;;;;Kylie Minogue;*Better the devil you know
Kylie Minogue;Cant Get You Out Of My Head;;;;;;;;;;;;Kylie Minogue;*Cant Get You Out Of My Head
Kylie Minogue;I Should Be So Lucky;;;;;;;;;;;;Kylie Minogue;*I Should Be So Lucky
Kylie Minogue;In Your Eyes;;;;;;;;;;;;Kylie Minogue;*In Your Eyes
Kylie Minogue;Let It Snow!;;;;;;;;;;;;Kylie Minogue;*Let It Snow!
Kylie Minogue;On A Night Like This;;;;;;;;;;;;Kylie Minogue;*On A Night Like This
Kylie Minogue;Slow;;;;;;;;;;;;Kylie Minogue;*Slow
Kylie Minogue;Spinning Around;;;;;;;;;;;;Kylie Minogue;*Spinning Around
Kylie Minogue;The Loco-Motion;;;;;;;;;;;;Kylie Minogue;*The Loco-Motion
Kylie Minogue & Jason Donovan;Especially For You (duet);;;;;;;;;;;;Kylie Minogue & Jason Donovan;*Especially For You (duet)
L7;Pretend we're dead;;;;;;;;;;;;L7;*Pretend we're dead
La Bouche;Be my lover;;;;;;;;;;;;La Bouche;*Be my lover
Lady Antebellum;Need You Now;;;;;;;;;;;;Lady Antebellum;*Need You Now
Lady GaGa;Alejandro;;;;;;;;;;;;Lady GaGa;*Alejandro
Lady Gaga;Always remember us this way;;;;;;;;;;;;Lady Gaga;*Always remember us this way
Lady GaGa;Bad Romance;;;;;;;;;;;;Lady GaGa;*Bad Romance
Lady GaGa;Born This Way;;;;;;;;;;;;Lady GaGa;*Born This Way
Lady Gaga;Hold my hand;;;;;;;;;;;;Lady Gaga;*Hold my hand
Lady Gaga;I'll Never Love Again;;;;;;;;;;;;Lady Gaga;*I'll Never Love Again
Lady Gaga;Monster;;;;;;;;;;;;Lady Gaga;*Monster
Lady GaGa;Paparazzi;;;;;;;;;;;;Lady GaGa;*Paparazzi
Lady GaGa;Poker Face;;;;;;;;;;;;Lady GaGa;*Poker Face
Lady Gaga;Stupid Love;;;;;;;;;;;;Lady Gaga;*Stupid Love
Lady GaGa;The Edge Of Glory;;;;;;;;;;;;Lady GaGa;*The Edge Of Glory
Lady Gaga & Ariana Grande;Rain On Me (+ duet);;;;;;;;;;;;Lady Gaga & Ariana Grande;*Rain On Me (+ duet)
Lady Gaga & Bradley Cooper;Shallow;;;;;;;;;;;;Lady Gaga & Bradley Cooper;*Shallow
Lady GaGa ft. Beyoncé;Telephone (+ duet);;;;;;;;;;;;Lady GaGa ft. Beyoncé;*Telephone (+ duet)
Lady GaGa ft. Colby O´Donis;Just Dance;;;;;;;;;;;;Lady GaGa ft. Colby O´Donis;*Just Dance
Laid Back;Sunshine Reggae;;;;;;;;;;;;Laid Back;*Sunshine Reggae
Laïs;'t Smidje;;;;;;;;;;;;Laïs;*'t Smidje
Lana Del Rey;Born To Die;;;;;;;;;;;;Lana Del Rey;*Born To Die
Lana Del Rey;Radio;;;;;;;;;;;;Lana Del Rey;*Radio
Lana Del Rey;Summertime;;;;;;;;;;;;Lana Del Rey;*Summertime
Lana Del Rey;Summertime Sadness;;;;;;;;;;;;Lana Del Rey;*Summertime Sadness
Lana Del Rey;Video Games;;;;;;;;;;;;Lana Del Rey;*Video Games
Las Ketchup;Asereje;;;;;;;;;;;;Las Ketchup;*Asereje
Laserkraft 3D;Nein Mann;;;;;;;;;;;;Laserkraft 3D;*Nein Mann
Lasgo;Alone;;;;;;;;;;;;Lasgo;*Alone
Laura Branigan;Self Control;;;;;;;;;;;;Laura Branigan;*Self Control
Laura Marano;Miraculous!;;;;;;;;;;;;Laura Marano;*Miraculous!
Lauren Daigle;You say;;;;;;;;;;;;Lauren Daigle;*You say
LeAnn Rimes;Can't Fight The Moonlight;;;;;;;;;;;;LeAnn Rimes;*Can't Fight The Moonlight
LeAnn Rimes;How Do I Live;;;;;;;;;;;;LeAnn Rimes;*How Do I Live
Led Zeppelin;Stairway to Heaven;;;;;;;;;;;;Led Zeppelin;*Stairway to Heaven
Lemar;50-50;;;;;;;;;;;;Lemar;*50-50
Lemar;It's Not That Easy;;;;;;;;;;;;Lemar;*It's Not That Easy
Lena Meyer-Landrut;Satellite;;;;;;;;;;;;Lena Meyer-Landrut;*Satellite
Lene Marlin;Sitting Down Here;;;;;;;;;;;;Lene Marlin;*Sitting Down Here
Lenny Kravitz;Again;;;;;;;;;;;;Lenny Kravitz;*Again
Lenny Kravitz;American Woman;;;;;;;;;;;;Lenny Kravitz;*American Woman
Lenny Kravitz;Are You Gonna Go My Way;;;;;;;;;;;;Lenny Kravitz;*Are You Gonna Go My Way
Lenny Kravitz;Fly Away;;;;;;;;;;;;Lenny Kravitz;*Fly Away
Lenny Kravitz;I'll Be Waiting;;;;;;;;;;;;Lenny Kravitz;*I'll Be Waiting
Lenny Kravitz;Let love rule;;;;;;;;;;;;Lenny Kravitz;*Let love rule
Lenny Kravitz ;It Ain't Over 'Til It's Over;;;;;;;;;;;;Lenny Kravitz ;*It Ain't Over 'Til It's Over
Leo Sayer;More than I can say;;;;;;;;;;;;Leo Sayer;*More than I can say
Leona Lewis;Bleeding love;;;;;;;;;;;;Leona Lewis;*Bleeding love
Leonard Cohen;Hallelujah (+ duet);;;;;;;;;;;;Leonard Cohen;*Hallelujah (+ duet)
Level 42;Lessons in love;;;;;;;;;;;;Level 42;*Lessons in love
Lewis Capaldi;Before You Go;;;;;;;;;;;;Lewis Capaldi;*Before You Go
Lewis Capaldi;Someone You Loved;;;;;;;;;;;;Lewis Capaldi;*Someone You Loved
Liberty X;Just a Little;;;;;;;;;;;;Liberty X;*Just a Little
Lifehouse;First Time;;;;;;;;;;;;Lifehouse;*First Time
Lifehouse;Hanging By A Moment;;;;;;;;;;;;Lifehouse;*Hanging By A Moment
Lighthouse Family;High;;;;;;;;;;;;Lighthouse Family;*High
Lil Nas X;Old Town Road;;;;;;;;;;;;Lil Nas X;*Old Town Road
Lil Nas X;Panini;;;;;;;;;;;;Lil Nas X;*Panini
Lil Nas X ;MONTERO (Call Me By Your Name);;;;;;;;;;;;Lil Nas X ;*MONTERO (Call Me By Your Name)
Lilly Wood & Robin Schulz;Prayer in C;;;;;;;;;;;;Lilly Wood & Robin Schulz;*Prayer in C
Lily Allen;22;;;;;;;;;;;;Lily Allen;*22
Lily Allen;Fuck you;;;;;;;;;;;;Lily Allen;*Fuck you
Lily Allen;Hard out here;;;;;;;;;;;;Lily Allen;*Hard out here
Lily Allen;LDN;;;;;;;;;;;;Lily Allen;*LDN
Lily Allen;Littlest Things;;;;;;;;;;;;Lily Allen;*Littlest Things
Lily Allen;Somewhere Only We Know;;;;;;;;;;;;Lily Allen;*Somewhere Only We Know
Limahl;The NeverEnding Story;;;;;;;;;;;;Limahl;*The NeverEnding Story
Limp Bizkit;Behind Blue Eyes;;;;;;;;;;;;Limp Bizkit;*Behind Blue Eyes
Limp Bizkit;My way;;;;;;;;;;;;Limp Bizkit;*My way
Limp Bizkit;Rearranged;;;;;;;;;;;;Limp Bizkit;*Rearranged
Limp Bizkit;Take a look around;;;;;;;;;;;;Limp Bizkit;*Take a look around
Linkin Park;Breaking The Habit;;;;;;;;;;;;Linkin Park;*Breaking The Habit
Linkin Park;Crawling;;;;;;;;;;;;Linkin Park;*Crawling
Linkin Park;In The End;;;;;;;;;;;;Linkin Park;*In The End
Linkin Park;Numb;;;;;;;;;;;;Linkin Park;*Numb
Linkin Park;One step closer;;;;;;;;;;;;Linkin Park;*One step closer
Linkin Park;Papercut;;;;;;;;;;;;Linkin Park;*Papercut
Linkin Park;Papercut (+ duet);;;;;;;;;;;;Linkin Park;*Papercut (+ duet)
Lio;Amoureux solitaires;;;;;;;;;;;;Lio;*Amoureux solitaires
Lionel Richie;All night long (All night);;;;;;;;;;;;Lionel Richie;*All night long (All night)
Lionel Richie;Ballerina Girl;;;;;;;;;;;;Lionel Richie;*Ballerina Girl
Lionel Richie;Dancing On The Ceiling;;;;;;;;;;;;Lionel Richie;*Dancing On The Ceiling
Lionel Richie;Hello;;;;;;;;;;;;Lionel Richie;*Hello
Lionel Richie;My Destiny;;;;;;;;;;;;Lionel Richie;*My Destiny
Lionel Richie;Say You Say Me;;;;;;;;;;;;Lionel Richie;*Say You Say Me
Lionel Richie;Se La;;;;;;;;;;;;Lionel Richie;*Se La
Lipps Inc;Funky Town;;;;;;;;;;;;Lipps Inc;*Funky Town
Lisa Loeb;Stay;;;;;;;;;;;;Lisa Loeb;*Stay
Lisa Stansfield;All Around The World;;;;;;;;;;;;Lisa Stansfield;*All Around The World
Little Mix ft. Machine Gun Kelly;No More Sad Songs;;;;;;;;;;;;Little Mix ft. Machine Gun Kelly;*No More Sad Songs
Little Richard;Tutti Frutti;;;;;;;;;;;;Little Richard;*Tutti Frutti
Live;I Alone;;;;;;;;;;;;Live;*I Alone
Live;Lightning Crashes;;;;;;;;;;;;Live;*Lightning Crashes
Live;Selling The Drama;;;;;;;;;;;;Live;*Selling The Drama
Lizzo;Juice;;;;;;;;;;;;Lizzo;*Juice
Lloyd;Get It Shawty;;;;;;;;;;;;Lloyd;*Get It Shawty
LMFAO;Party Rock Anthem;;;;;;;;;;;;LMFAO;*Party Rock Anthem
LMFAO;Sexy and I Know It;;;;;;;;;;;;LMFAO;*Sexy and I Know It
London Grammar;Hell to the Liars;;;;;;;;;;;;London Grammar;*Hell to the Liars
London Grammar;Strong;;;;;;;;;;;;London Grammar;*Strong
London Grammar;Wasting My Young Years;;;;;;;;;;;;London Grammar;*Wasting My Young Years
Lone Star;Amazed;;;;;;;;;;;;Lone Star;*Amazed
Lorde;Green Light;;;;;;;;;;;;Lorde;*Green Light
Lorde;Royals;;;;;;;;;;;;Lorde;*Royals
Lordi;Hard Rock Hallelujah;;;;;;;;;;;;Lordi;*Hard Rock Hallelujah
Loreen;Euphoria;;;;;;;;;;;;Loreen;*Euphoria
Loreen ;Tattoo (En vivo);;;;;;;;;;;;Loreen ;*Tattoo (En vivo)
Los Bravos;Black is black;;;;;;;;;;;;Los Bravos;*Black is black
Los del Río;Macarena;;;;;;;;;;;;Los del Río;*Macarena
Lost Frequencies;Are You With Me;;;;;;;;;;;;Lost Frequencies;*Are You With Me
Lost Frequencies;Melody;;;;;;;;;;;;Lost Frequencies;*Melody
Lost Frequencies;Reality;;;;;;;;;;;;Lost Frequencies;*Reality
Lou Bega;Mambo No. 5;;;;;;;;;;;;Lou Bega;*Mambo No. 5
Louis Armstrong;What a wonderful world;;;;;;;;;;;;Louis Armstrong;*What a wonderful world
Louis Prima;Just A Gigolo / Ain't Got Nobody;;;;;;;;;;;;Louis Prima;*Just A Gigolo / Ain't Got Nobody
Luciano Pavarotti;Nessun Dorma;;;;;;;;;;;;Luciano Pavarotti;*Nessun Dorma
Lucilectric;Madchen;;;;;;;;;;;;Lucilectric;*Madchen
Luis Fonsi ft. Daddy Yankee;Despacito;;;;;;;;;;;;Luis Fonsi ft. Daddy Yankee;*Despacito
Lukas Graham;7 Years;;;;;;;;;;;;Lukas Graham;*7 Years
Lynyrd Skynyrd;Sweet Home Alabama;;;;;;;;;;;;Lynyrd Skynyrd;*Sweet Home Alabama
M People;Moving On Up;;;;;;;;;;;;M People;*Moving On Up
Macklemore & Ryan Lewis;Can't Hold Us;;;;;;;;;;;;Macklemore & Ryan Lewis;*Can't Hold Us
Macklemore & Ryan Lewis;Thrift Shop;;;;;;;;;;;;Macklemore & Ryan Lewis;*Thrift Shop
Macy Gray;I Try;;;;;;;;;;;;Macy Gray;*I Try
Madcon;Beggin';;;;;;;;;;;;Madcon;*Beggin'
Madness;House Of Fun;;;;;;;;;;;;Madness;*House Of Fun
Madness;It must be love;;;;;;;;;;;;Madness;*It must be love
Madness;Our House;;;;;;;;;;;;Madness;*Our House
Madonna;Borderline;;;;;;;;;;;;Madonna;*Borderline
Madonna;Causing a commotion;;;;;;;;;;;;Madonna;*Causing a commotion
Madonna;Cherish;;;;;;;;;;;;Madonna;*Cherish
Madonna;Crazy For You;;;;;;;;;;;;Madonna;*Crazy For You
Madonna;Don't Cry For Me Argentina;;;;;;;;;;;;Madonna;*Don't Cry For Me Argentina
Madonna;Erotica;;;;;;;;;;;;Madonna;*Erotica
Madonna;Express Yourself;;;;;;;;;;;;Madonna;*Express Yourself
Madonna;Fever;;;;;;;;;;;;Madonna;*Fever
Madonna;Frozen;;;;;;;;;;;;Madonna;*Frozen
Madonna;Get Into The Groove;;;;;;;;;;;;Madonna;*Get Into The Groove
Madonna;Give It To Me;;;;;;;;;;;;Madonna;*Give It To Me
Madonna;Holiday;;;;;;;;;;;;Madonna;*Holiday
Madonna;Into The Groove;;;;;;;;;;;;Madonna;*Into The Groove
Madonna;La Isla Bonita;;;;;;;;;;;;Madonna;*La Isla Bonita
Madonna;Like A Prayer;;;;;;;;;;;;Madonna;*Like A Prayer
Madonna;Like a Virgin;;;;;;;;;;;;Madonna;*Like a Virgin
Madonna;Lucky Star;;;;;;;;;;;;Madonna;*Lucky Star
Madonna;Material Girl;;;;;;;;;;;;Madonna;*Material Girl
Madonna;Music;;;;;;;;;;;;Madonna;*Music
Madonna;Open Your Heart;;;;;;;;;;;;Madonna;*Open Your Heart
Madonna;Papa Don't Preach;;;;;;;;;;;;Madonna;*Papa Don't Preach
Madonna;Rain;;;;;;;;;;;;Madonna;*Rain
Madonna;True Blue;;;;;;;;;;;;Madonna;*True Blue
Madonna;Vogue;;;;;;;;;;;;Madonna;*Vogue
Madonna;What It Feels Like For A Girl;;;;;;;;;;;;Madonna;*What It Feels Like For A Girl
Madonna;Who's That Girl;;;;;;;;;;;;Madonna;*Who's That Girl
Madonna ft. Justin Timberlake;4 Minutes;;;;;;;;;;;;Madonna ft. Justin Timberlake;*4 Minutes
Majestic x Boney M.;Rasputin;;;;;;;;;;;;Majestic x Boney M.;*Rasputin
Major Lazer;Lean On;;;;;;;;;;;;Major Lazer;*Lean On
Major Lazer;Watch out for this (Bumaye);;;;;;;;;;;;Major Lazer;*Watch out for this (Bumaye)
Mamas & the Papas;California Dreamin'(duet);;;;;;;;;;;;Mamas & the Papas;*California Dreamin'(duet)
Mamas & the Papas;Monday, Monday;;;;;;;;;;;;Mamas & the Papas;*Monday, Monday
Måneskin;Beggin’;;;;;;;;;;;;Måneskin;*Beggin’
Måneskin;Supermodel;;;;;;;;;;;;Måneskin;*Supermodel
Måneskin;Zitti e buoni;;;;;;;;;;;;Måneskin;*Zitti e buoni
Maneskin ;The Loneliest;;;;;;;;;;;;Maneskin ;*The Loneliest
Manfred Mann;Do Wah Diddy Diddy;;;;;;;;;;;;Manfred Mann;*Do Wah Diddy Diddy
Manic Street Preachers;If you tolerate this;;;;;;;;;;;;Manic Street Preachers;*If you tolerate this
Manic Street Preachers;Motorcycle Emptiness;;;;;;;;;;;;Manic Street Preachers;*Motorcycle Emptiness
Manu Chao;Me gustas tú;;;;;;;;;;;;Manu Chao;*Me gustas tú
Marc Almond ft. Gene Pitney;Something's Gotten Hold Of My Heart (G / M);;;;;;;;;;;;Marc Almond ft. Gene Pitney;*Something's Gotten Hold Of My Heart (G / M)
Marc Cohn;Walking In Memphis;;;;;;;;;;;;Marc Cohn;*Walking In Memphis
Marco Borsato;Rood;;;;;;;;;;;;Marco Borsato;*Rood
Maria Mena;You're the Only One;;;;;;;;;;;;Maria Mena;*You're the Only One
Mariah Carey;All I Want For Christmas Is You;;;;;;;;;;;;Mariah Carey;*All I Want For Christmas Is You
Mariah Carey;Hero;;;;;;;;;;;;Mariah Carey;*Hero
Mariah Carey;Without you;;;;;;;;;;;;Mariah Carey;*Without you
Mariah Carey & Whitney Houston;When you believe (+ duet);;;;;;;;;;;;Mariah Carey & Whitney Houston;*When you believe (+ duet)
Marianne Rosenberg;Er Gehort Zu Mir;;;;;;;;;;;;Marianne Rosenberg;*Er Gehort Zu Mir
Marianne Rosenberg;Ich bin wie du;;;;;;;;;;;;Marianne Rosenberg;*Ich bin wie du
Marillion;Kayleigh;;;;;;;;;;;;Marillion;*Kayleigh
Marilyn Manson;Personal Jesus;;;;;;;;;;;;Marilyn Manson;*Personal Jesus
Marilyn Manson;Sweet Dreams;;;;;;;;;;;;Marilyn Manson;*Sweet Dreams
Marilyn Manson;The Dope Show;;;;;;;;;;;;Marilyn Manson;*The Dope Show
Marilyn Monroe;I Wanna Be Loved By You;;;;;;;;;;;;Marilyn Monroe;*I Wanna Be Loved By You
Mark Ronson ft.  Miley Cyrus;Nothing Breaks Like a Heart;;;;;;;;;;;;Mark Ronson ft.  Miley Cyrus;*Nothing Breaks Like a Heart
Mark Ronson ft. Amy Winehouse;Valerie;;;;;;;;;;;;Mark Ronson ft. Amy Winehouse;*Valerie
Mark Ronson ft. Bruno Mars;Uptown Funk;;;;;;;;;;;;Mark Ronson ft. Bruno Mars;*Uptown Funk
Maroon 5;Animals;;;;;;;;;;;;Maroon 5;*Animals
Maroon 5;Girls Like You;;;;;;;;;;;;Maroon 5;*Girls Like You
Maroon 5;Makes Me Wonder;;;;;;;;;;;;Maroon 5;*Makes Me Wonder
Maroon 5;Memories;;;;;;;;;;;;Maroon 5;*Memories
